RKW,Longitude,Latitude,Ecotype,BIO1,BIO2,BIO4,BIO5,BIO6,BIO12,BIO15,BIO19,LC,NDVIM,SRTM,TREE
RKW7715,-106.930343,53.962094,Pop_2_BorealForest,3,123,12732,234,-251,438,57,57,5,9453,517,51
RKW2052,-117.467,62.133,Pop_2_BorealForest,-46,109,15312,223,-320,284,36,54,1,7348,190,61
RKW2223,-97.041296,64.772209,Pop_3_Arctic,-134,90,16076,150,-394,221,64,18,16,6211,73,3
RKW2297,-105.433287,61.49534,Pop_3_Arctic,-80,95,15224,182,-350,327,48,43,7,7051,387,1
RKW2363,-123.097408,65.024448,Pop_2_BorealForest,-67,91,15359,200,-318,290,47,40,7,6353,167,13
RKW3116,-111.1881653,56.7297451,Pop_2_BorealForest,-2,124,12860,230,-265,453,55,63,5,8241,402,68
RKW3134,-111.2611031,56.62508354,Pop_2_BorealForest,0,125,12776,233,-261,453,56,63,1,8118,375,73
RKW3599,-147.4460684,63.18228275,Pop_1_WestForest,-53,113,11966,177,-263,319,70,44,7,7933,962,0
RKW3757,-124.25,49.08,Pop_5_BritishColumbia,75,84,5140,213,-18,1749,62,750,1,9014,556,74
RKW736,-76.658082,56.07267,Pop_6_AtlanticForest,-52,85,12244,149,-288,568,48,64,10,5704,88,15
RKW3765,-149.546,63.712,Pop_1_WestForest,-40,99,11205,178,-229,470,58,71,7,7664,738,33
