Predation,Weather,SBL
Low,Sunny,35.877
Low,Sunny,27.447
Low,Sunny,30.393
Low,Sunny,33.148
Low,Sunny,30.948
Low,Sunny,32.867
Low,Sunny,34.765
Low,Sunny,38.226
Low,Sunny,32.887
Low,Sunny,30.995
Low,Sunny,36.892
Low,Sunny,22.896
Low,Sunny,30.004
Low,Sunny,19.925
Low,Sunny,24.783
Low,Sunny,24.526
Low,Sunny,19.688
Low,Sunny,25.456
Low,Sunny,25.553
Low,Sunny,26.7
Low,Sunny,24.109
Low,Sunny,23.772
Low,Sunny,23.111
Low,Sunny,24.174
Low,Sunny,28.338
Low,Sunny,35.159
Low,Sunny,30.73
Low,Sunny,35.002
Low,Sunny,33.047
Low,Sunny,32.893
Low,Sunny,31.433
Low,Sunny,35.648
Low,Sunny,32.539
Low,Sunny,36.979
Low,Sunny,31.613
Low,Sunny,31.66
Low,Sunny,33.56
Low,Sunny,30.22
Low,Sunny,33.66
Low,Sunny,31.911
Low,Sunny,34.442
Low,Sunny,25.683
Low,Sunny,32.168
Low,Sunny,29.617
Low,Sunny,32.944
Low,Sunny,31.056
Low,Sunny,36.144
Low,Sunny,41.901
Low,Sunny,35.128
Low,Sunny,34.637
Low,Sunny,40.32
Low,Sunny,33.61
Low,Sunny,29.751
Low,Sunny,31.131
Low,Sunny,26.252
Low,Sunny,26.204
Low,Sunny,25.185
Low,Sunny,21.834
Low,Sunny,25.456
Low,Sunny,25.219
Low,Sunny,22.887
Low,Sunny,26.894
Low,Sunny,28.25
Low,Sunny,25.707
Low,Sunny,26.504
Low,Sunny,27.164
Low,Sunny,26.493
Low,Sunny,26.848
Low,Sunny,24.433
Low,Sunny,29.172
Low,Sunny,29.56
Low,Sunny,25.78
Low,Sunny,26.473
Low,Sunny,24.297
Low,Sunny,28.338
Low,Sunny,26.894
Low,Sunny,26.918
Low,Sunny,23.562
Low,Sunny,23.553
Low,Sunny,24.92
Low,Sunny,32.246
Low,Sunny,31.54
Low,Sunny,34.059
Low,Sunny,28.887
Low,Sunny,29.553
Low,Sunny,30.914
Low,Sunny,29.56
Low,Sunny,35.577
Low,Sunny,32.272
Low,Sunny,32.893
Low,Sunny,29.56
Low,Sunny,32.246
Low,Sunny,34.374
Low,Sunny,29.638
Low,Sunny,28.69
High,Sunny,30.649
High,Sunny,26.833
High,Sunny,28.714
High,Sunny,32.63
High,Sunny,32.728
High,Sunny,33.797
High,Sunny,29.814
High,Sunny,33.797
High,Sunny,26.009
High,Sunny,28.636
High,Sunny,24.775
High,Sunny,28.674
High,Sunny,27.411
High,Sunny,24.703
High,Sunny,34.026
High,Sunny,31.248
High,Sunny,32.667
High,Sunny,29.12
High,Sunny,28.071
High,Sunny,30
High,Sunny,29.288
High,Sunny,29.612
High,Sunny,28.636
High,Sunny,30.236
High,Sunny,28.944
High,Sunny,30.207
High,Sunny,28.284
High,Sunny,33.393
High,Sunny,25.201
High,Sunny,26.077
High,Sunny,24.459
High,Sunny,27.536
High,Sunny,27.753
High,Sunny,28.386
High,Sunny,23.017
High,Sunny,24.267
High,Sunny,24.037
High,Sunny,26.009
High,Cloudy,26.136
High,Cloudy,21.99
High,Cloudy,27.406
High,Cloudy,25.552
High,Cloudy,23.485
High,Cloudy,24.513
High,Cloudy,22.676
High,Cloudy,24.775
High,Cloudy,27.333
High,Cloudy,28.198
High,Cloudy,26.213
High,Cloudy,22.49
High,Cloudy,20.763
High,Cloudy,26.683
High,Cloudy,24.037
High,Cloudy,24.092
High,Cloudy,26.213
High,Cloudy,22.41
High,Sunny,24.267
High,Sunny,27.624
High,Sunny,28.944
High,Sunny,26.617
High,Cloudy,28.944
High,Cloudy,25.333
High,Cloudy,25.517
High,Cloudy,24.667
High,Cloudy,23.447
High,Cloudy,28.48
High,Cloudy,22.667
High,Cloudy,21.082
High,Cloudy,24.81
High,Cloudy,28.071
High,Cloudy,21.499
High,Cloudy,21.633
High,Cloudy,25.131
High,Cloudy,23.027
High,Cloudy,21.609
High,Cloudy,23.196
High,Sunny,23.674
High,Sunny,22.251
High,Sunny,18.595
High,Sunny,16.841
High,Sunny,24.667
High,Sunny,23.57
High,Sunny,21.932
High,Sunny,20.1
High,Cloudy,27.366
High,Cloudy,22.988
High,Cloudy,23.674
High,Cloudy,18.679
High,Cloudy,25.104
High,Cloudy,21.375
High,Cloudy,27.984
